text,label
Bhai 60sal pehle desh me kya tha pehle pta kro desh waise ka waise kaise hai,CAG
chutiya friday ko isliye releae krte kyoki week end ke 3 din milte h to log free hokr film dekh sake..!! hd h yrr chutiyapa ki,CAG
जय मोदीराज,CAG
UPA walo ne bahot kuch kr diya tha desh k liye,CAG
Pan ko Aadhar se link ki zarurat kuy hai? Supreme Court ne ye bola hi nahi,CAG
"काकर पाथर जोड़ के मस्जिद लई बनाय।

ता चढ़ि मुल्ला बांघ दे , क्या बहरा हुआ खुदाय। 

यह मैं नहीं कबीर ने कहा था।",OAG
"Us raat tere papa k jageh mera sperm gya tha use of technology 
Aur tere papa ko pta v na chala 😂😂😂
Chutiya",OAG
गटर के कीड़े,OAG
Waise bandhu jet lag se bachne ke liye Raat ko 10 baje ke baad so jao,NAG
"get your love back +91-(9815215009) and #all_problems_solution_with_in_72_hours one call change life 
समस्या चाहे कैसी भी हो जड़ से खत्म।
बड़ी से बड़ी समस्या का समाधान।101%
अपने मन चाहे प्यार को पाना, काम कारोबार, किया कराया, सोतन से छुटकारा, पति - पत्नी में अनबन, +91-(9815215009)",NAG
विदिशा से बीजेपी की सुषमा स्वराज आगे,NAG
Bhaii tume lagta bjp ne kia h ye to fir aao politics me sudharo society.....,CAG
Es kutte ko jail me daal do .Desh drohi hai,OAG
सीनाजोरी,OAG
"Haan sahi kaha 
Jab pm ko jutey padh saktey wo bhi 56 inch ko 
To congress neta kis kheht ki muli hai",CAG
"#arwin khwabon se bahar niklo aur dekho Kashmir India ka tha, h, aur rhega. And vase bhi Kashmir m hum kaafiron k bahut sare religious places h Jo uski beauty ko chaar chand lgate h tum terrorist ka toh sirf terrorism h jo uski beauty ko brbaad kr rha h. Tum log jisko Jo kuch kehte ho usse janane m hume koi interest nhi h isliye faltu m bako mt k hum isko ye kehte h hum usko woh kehte h vagarah vagarah.",CAG
श्री श्री जिनके  लिए पूरी सरकार ने दिल्ली मे यमुना भी बरबाद होने दी सारी सुविधा दी उनसे मिलने से देशविरोध का क्या मतलब बेशक कोई और मिलता तो उसे तमगा और पाकिस्तान का निवास मिलते,OAG
"मोदी जी अब ऐसा भी कानुन कर सकते है,,कि गरीब और आम जनता वोट ही ना करे|
और वोट करना है तो मोदी को ही करे|नही तो आम लोगोको कान पकडनेको कह सकते है|
राशन भी बंद कर सकते है|अब सब सत्ता अकेले ही हाथमे है|
आम लोग कही ना कही परेशान होने चाहिए,भ्रमिष्ठ होने चाहिए,सोचनेकेलिए दिमाग ही बंद होना चाहिए!!!
एैसा ही कानुन बना सकते है|
जनता जाए भाडमे !ऐसी ही सोच है मोदीजी की!बस बाकी कुछ नही|",OAG
जुबान दी थी तो जुबान की कीमत निभाई सर मुंडा के ये तो मेरे लिए गर्व की बात है।,NAG
Is gadhe ke gand main itna bambu dalo sala marhi jaye,OAG
Karat has apn bhahin la experience hai. Bikul sahi send kar de hafiz la.,OAG
Ravish jii aap ke kasbe Mein sirf congressi rahte hai,CAG
Bole tw zeada kon log h India m deobndi or brelvi?,NAG
Iskee MA ki choot dalle ki bahan ka loda gandua Sala madarchod kutte ka beej,OAG
"To ab Kan khol ki sun lo Congresiyo ...56 '' ka Sena Modi Ji to bahut jald hi dekhane Wala hai par tum Congresiyo antakiyo ki marna par Rona, or inko bachane ki Liya rat ko supreme court Jana, sarjikal staik ka sabut mangna, or antkiyo ki Liya khulla supportr ban na or manisankar , degvijay or nirupam jaisa antaki supportro ka gala kab dabne ja raha ho pahala yeh desh ko batao....",OAG
cingress me sab chaplus hai,OAG
Yahn pakistan m babri masjid ko shaeed ni kya jata,CAG
Ammi jaan ko bhej porki... Unko khushi ka hissa bna lenge.,OAG
"Hahahah
.bewkoof India mei ghus k maara aur WO bhi chupke ..haha.

Aur Kashmir p already India ka kabja a..mere stupid bhaia",OAG
"Jab iska do....... Ki

अल्लाह ताल्लाह के फजल से
पाकिस्तानी जेल में सज़ा काट रहे
आतंकी जकी-उर-रहमान-लखवी
की पत्नी पेट से है !😉

अल्लाह बडा हलालु है 😂",OAG
Gold mila hota baki indians sab khane ke liye marte...😀,CAG
O cow k peshan piny vali Qom  aram sy,OAG
aby india walo tum logo ko sharam bhi nahi aati jhot bolte howy bhi,CAG
सोनिया और पप्पू के तलवे चाट चाट कर मानसिक सन्तूलन खो बैठे है यह डुगडुगी मियां । एक पगले के प्रलाप से अधिक कुछ नहीं है इस के बयान ।,OAG
barbad-e-gulistan karne ko ek hi ullu kafi tha ab haal-e-gulistan kya hoga har shaq par ullu baitha hai.in jaise logon ki wajh se hi aaj hmari yh halat h,OAG
"karo dua ki phir se na kahi bhi koi kasab paida ho,
 mao ki kokh se bus bhagat, karkare, salaskar se aftab paida ho...",NAG
"Chl be fake account jyada na bol 
Himmat hi ni h
Ja na apne page me 
Baar 2 pta ehi hu pakistan k page ja
Ni h na to bna le
Tra desh kya ho rha h bhut acche se pta nikl lo and wIt and watch india ku6 t9 krega zarur fir puchenge",OAG
Sir aap ko salute nehi ton apki vi halat kwjribal jeise hote,CAG
Bh##i k worldpowerful country jesa koi word ni hota tum pakistaniyon ko ek hi phrase aata h bolna our boys played well :p iske baad fatt jaati h tum logon ki saale pura india hi aa gya naa je uth k bomb aur missile ki bi jrurat bi ni pdegi thappad maar maar k hi 72 hooron k paas bhej denge tumharko smjha chhake :/,OAG
Yar tho Tum Muslim Kon sa  indea kA sat detha hai tum mullo ko tho bhut khuse hotha hai,CAG
,
,
,
,
,
,
,
,
,
